1.000000e+00 -1.996284e+00 2.967277e-02 9.987610e-01 3.711860e-03
1.100000e+00 -1.991490e+00 5.602506e-02 9.971630e-01 7.708914e-03
1.200000e+00 -1.983856e+00 8.898714e-02 9.946005e-01 1.344865e-02
1.300000e+00 -1.975542e+00 1.144563e-01 9.918570e-01 1.857290e-02
1.400000e+00 -1.961126e+00 1.558466e-01 9.870405e-01 2.731658e-02
1.500000e+00 -1.942868e+00 1.978310e-01 9.809695e-01 3.711491e-02
1.600000e+00 -1.922064e+00 2.347343e-01 9.740480e-01 4.699373e-02
1.700000e+00 -1.895804e+00 2.743241e-01 9.653080e-01 5.841639e-02
1.800000e+00 -1.867712e+00 3.063159e-01 9.559450e-01 6.918813e-02
1.900000e+00 -1.837658e+00 3.324023e-01 9.459955e-01 7.917635e-02
2.000000e+00 -1.799140e+00 3.638153e-01 9.331220e-01 9.156367e-02
2.100000e+00 -1.764926e+00 3.795086e-01 9.217925e-01 1.002787e-01
2.200000e+00 -1.726420e+00 3.943289e-01 9.090620e-01 1.091705e-01
2.300000e+00 -1.683882e+00 4.073750e-01 8.948445e-01 1.183462e-01
2.400000e+00 -1.641228e+00 4.147018e-01 8.807690e-01 1.257649e-01
2.500000e+00 -1.604060e+00 4.133578e-01 8.684705e-01 1.306908e-01
2.600000e+00 -1.561682e+00 4.130801e-01 8.544370e-01 1.360399e-01
2.700000e+00 -1.521360e+00 4.085595e-01 8.411775e-01 1.398151e-01
2.800000e+00 -1.480504e+00 4.024959e-01 8.276750e-01 1.430766e-01
2.900000e+00 -1.437078e+00 3.959262e-01 8.133605e-01 1.460158e-01
3.000000e+00 -1.395668e+00 3.871141e-01 7.996190e-01 1.480779e-01
3.100000e+00 -1.361270e+00 3.747746e-01 7.882670e-01 1.484105e-01
3.200000e+00 -1.323782e+00 3.639427e-01 7.761210e-01 1.486565e-01
3.300000e+00 -1.288060e+00 3.519109e-01 7.644490e-01 1.483918e-01
3.400000e+00 -1.247978e+00 3.408148e-01 7.511440e-01 1.485320e-01
3.500000e+00 -1.221962e+00 3.271774e-01 7.427570e-01 1.467246e-01
3.600000e+00 -1.191022e+00 3.150588e-01 7.326880e-01 1.453864e-01
3.700000e+00 -1.158320e+00 3.028566e-01 7.220075e-01 1.439334e-01
3.800000e+00 -1.130872e+00 2.911071e-01 7.132650e-01 1.419527e-01
3.900000e+00 -1.100852e+00 2.795942e-01 7.033295e-01 1.402958e-01
